,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-06-14,20200614.0,166881.0,930735.0,591.0,0.0,18737.0,0.0,0.0,0.0,0.0,28714.0,12625.0,18737.0,0.0,0.0,0.0,166881.0,12625.0,0.0,34.0,0.0,0.0,1097616.0,1097616.0,19401.0,1097616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,20200615.0,167103.0,948980.0,591.0,0.0,18755.0,0.0,0.0,0.0,0.0,28819.0,12676.0,18755.0,0.0,0.0,0.0,167103.0,12676.0,0.0,34.0,0.0,0.0,1116083.0,1116083.0,18467.0,1116083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,20200616.0,167426.0,964356.0,591.0,0.0,18879.0,0.0,0.0,0.0,0.0,28872.0,12727.0,18879.0,0.0,0.0,0.0,167426.0,12727.0,0.0,34.0,0.0,0.0,1131782.0,1131782.0,15699.0,1131782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,20200617.0,167703.0,980138.0,591.0,0.0,19010.0,0.0,0.0,0.0,0.0,28966.0,12769.0,19010.0,0.0,0.0,0.0,167703.0,12769.0,0.0,34.0,0.0,0.0,1147841.0,1147841.0,16059.0,1147841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,20200618.0,168107.0,1003627.0,591.0,0.0,19010.0,0.0,0.0,0.0,0.0,29101.0,12800.0,19010.0,0.0,0.0,0.0,168107.0,12800.0,0.0,34.0,0.0,0.0,1171734.0,1171734.0,23893.0,1171734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,20200619.0,168496.0,1025847.0,591.0,0.0,19267.0,0.0,0.0,0.0,0.0,29209.0,12835.0,19267.0,0.0,0.0,0.0,168496.0,12835.0,0.0,34.0,0.0,0.0,1194343.0,1194343.0,22609.0,1194343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,20200620.0,168834.0,1050039.0,591.0,0.0,19267.0,0.0,0.0,0.0,0.0,29318.0,12857.0,19267.0,0.0,0.0,0.0,168834.0,12857.0,0.0,34.0,0.0,0.0,1218873.0,1218873.0,24530.0,1218873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,20200621.0,169142.0,1075825.0,591.0,0.0,19267.0,0.0,0.0,0.0,0.0,29450.0,12870.0,19267.0,0.0,0.0,0.0,169142.0,12870.0,0.0,34.0,0.0,0.0,1244967.0,1244967.0,26094.0,1244967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,20200622.0,169415.0,1097984.0,591.0,0.0,19401.0,0.0,0.0,0.0,0.0,29522.0,12895.0,19401.0,0.0,0.0,0.0,169415.0,12895.0,0.0,34.0,0.0,0.0,1267399.0,1267399.0,22432.0,1267399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,20200623.0,169734.0,1113717.0,591.0,0.0,19512.0,0.0,0.0,0.0,0.0,29517.0,12949.0,19512.0,0.0,0.0,0.0,169734.0,12949.0,0.0,34.0,0.0,0.0,1283451.0,1283451.0,16052.0,1283451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,20200624.0,169892.0,1129753.0,591.0,0.0,19598.0,0.0,0.0,0.0,0.0,29627.0,12995.0,19598.0,0.0,0.0,0.0,169892.0,12995.0,0.0,34.0,0.0,0.0,1299645.0,1299645.0,16194.0,1299645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
